"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","MTS Payments","0","Онлайн пополнение","5","0","Проверка плейсхолдеров","0"
"0","MTS Payments","0","Онлайн пополнение","1","0","Проверка заголовка блока","0"
"0","MTS Payments","0","Онлайн пополнение","1","0","Проверка формы оплаты","0"
"0","","0","","12","0","","0"
"0","MTS Payments","0","Онлайн пополнение","1","0","Проверка наличия логотипов","0"
